"Id_aloj_1";"O0110";"O0111";"O0115";"O0120";"O0125";"O0130";"O0135";"O0140";"O0145";"O0150";"O0155";"O0160";"O0161";"O0162";"O0163";"O0165";"O0210";"O0211";"O0215";"O0220";"O0225";"O0230";"O0235";"O0240";"O0245";"O0250";"O0260";"O0261";"O0265";"O0310";"O0315";"O0320";"O0325";"O0330";"O0335";"O0340";"O0345";"O0350";"O0355";"O0360";"O0365";"O0370";"O0375"
"F1_1056";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1057";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1058";1;;;;;;2;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1059";;1;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1060";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1061";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1062";3;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1063";;;;;3;;;;;1;;;2;;;;1;3;;;;2;;;;;;;;4;5;5;4;5;5;4;2;4;4;5;4;5;4
"F1_1064";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1065";1;;3;2;;;;;;;;;;;;;3;;;;1;;;;;2;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"F1_1066";;2;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1067";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1068";;;;;;;2;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1069";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1070";;;;;;;1;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1071";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1072";;3;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1073";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1074";;;;;;;;;;;;;;;;;;3;;;;;;2;;1;;;;4;4;3;3;5;4;3;4;4;4;3;4;3;1
"F1_1075";1;;;;3;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1076";1;2;;;;;3;;;;;;;;;;;;3;2;;;;;;;;;1;3;5;4;6;5;2;4;5;5;5;5;5;5;6
"F1_1077";3;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1078";;1;;;;;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1079";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1080";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1081";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1082";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1083";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1084";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1085";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1086";;2;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1087";;3;;;;;1;;;;;;2;;;;;2;;;3;;;;;;1;;;5;5;5;5;4;5;2;5;3;5;5;2;5;5
"F1_1088";;3;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1089";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1090";;2;;;;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1091";;1;;;;;;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1092";;1;;;;;3;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1093";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1094";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1095";2;;;;1;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1096";;3;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1097";;2;;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1098";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1099";;1;;;;;;;;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1100";;1;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1102";3;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1103";;;;;3;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1104";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1105";;2;;;;;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1106";1;2;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1107";1;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1108";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1109";;3;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1110";;3;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1111";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1112";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1113";;;;3;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1114";1;;;;3;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1115";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1116";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1117";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1118";;;;;2;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1119";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1120";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1121";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1122";;1;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1123";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1124";3;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1125";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1126";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1127";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1128";;;;;3;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1129";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1130";;2;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1131";;3;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1132";;2;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1133";1;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1134";;;;;;;1;;;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1135";2;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1136";3;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1137";;3;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1138";3;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1139";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1140";3;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1141";3;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1142";2;;;;1;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1143";2;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1144";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1145";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1146";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1147";1;;;;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1148";;;;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1149";;2;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1150";;;;;;;;;;;;;;;;;3;;;;;;2;;;1;;;;2;4;2;2;2;2;2;5;2;3;3;2;2;1
