"Id_aloj_1";"O0110";"O0111";"O0115";"O0120";"O0125";"O0130";"O0135";"O0140";"O0145";"O0150";"O0155";"O0160";"O0161";"O0162";"O0163";"O0165";"O0210";"O0211";"O0215";"O0220";"O0225";"O0230";"O0235";"O0240";"O0245";"O0250";"O0260";"O0261";"O0265";"O0310";"O0315";"O0320";"O0325";"O0330";"O0335";"O0340";"O0345";"O0350";"O0355";"O0360";"O0365";"O0370";"O0375"
"F1_23335";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23336";;;;;;;;;;;;;;;;;2;;;1;;;;;;;;3;;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"F1_23337";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23338";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23339";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23340";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23341";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23342";3;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23343";1;;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23344";;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;3;2;3;2;2;2;3;2;2;4;4;2;3;3;4
"F1_23345";;;;;;;;;;;;;;;;;2;;;;;;1;3;;;;;;4;5;4;5;5;4;5;4;4;5;5;5;4;4
"F1_23346";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23347";1;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23348";;;;;;;;;;;;;;;;;;;;;1;;;3;2;;;;;4;5;5;5;5;5;5;3;3;4;4;4;5;4
"F1_23349";;1;;3;;;;;;;;;2;;;;;;;3;;;2;;;1;;;;3;2;2;2;2;2;2;3;1;2;3;2;2;1
"F1_23350";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23351";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23352";2;3;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23353";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23354";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23355";;1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23356";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23357";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23358";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23359";;;;;;;;;;;;;;;;;1;;;;;;;3;2;;;;;5;6;6;6;6;5;5;4;5;4;4;3;4;4
"F1_23360";3;;;;;;;;;;1;;2;;;;;;;3;1;2;;;;;;;;5;5;5;3;3;4;5;5;4;5;5;5;5;3
"F1_23361";;;;;;;;;;;;;;;;;1;;;;;;;;3;2;;;;4;6;3;3;3;6;6;1;3;3;4;6;3;3
"F1_23362";1;;;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23363";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23364";;2;;;;;1;;;;;;;;;3;;;;;;;;2;3;;1;;;4;4;3;3;3;4;4;3;3;3;3;2;3;3
"F1_23365";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23366";;;;;;;;;;;;;;;;;2;;;;1;;;;3;;;;;4;5;4;5;4;3;4;4;4;4;4;3;5;4
"F1_23367";;;;;;;;;;;;;;;;;;;;;2;;;3;;1;;;;2;4;2;2;4;5;3;3;4;4;3;3;4;3
"F1_23368";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23369";2;;;;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23370";;;;;;;;;;;;;;;;;;1;;;;2;;;3;;;;;3;5;5;6;5;5;4;4;5;5;5;4;4;4
"F1_23371";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23372";;;;;;;;;;;;;;;;;;;;;;2;;1;3;;;;;3;6;6;6;6;6;6;6;6;6;6;6;6;5
"F1_23373";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23374";;;;;;;;;;;;;;;;;3;1;;;;;;2;;;;;;4;5;4;4;4;4;4;3;4;3;3;4;4;3
"F1_23375";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23376";;;;;;;;;;;;;;;;;;;;;1;2;3;;;;;;;3;4;2;1;1;3;3;3;1;3;3;3;3;1
"F1_23377";2;;;;;;;;;;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23378";;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;;;3;3;3;2;2;2;2;3;3;3;2;3;3;3
"F1_23379";1;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23380";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23381";;3;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23382";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23383";3;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23384";1;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23385";;;;;;;;;;;;;;;;;;1;;;;;;2;3;;;;;3;2;1;4;5;5;3;1;3;3;3;4;3;3
"F1_23386";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23387";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23388";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23389";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23390";;1;;;3;;;;;;2;;;;;;;3;;;1;;;;;;2;;;6;4;3;6;5;3;6;3;4;4;3;4;3;5
"F1_23391";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23392";;;;;;;;;;;;;;;;;;;3;;2;;;;;;1;;;3;4;1;2;1;4;4;3;5;6;5;6;3;3
"F1_23393";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23394";1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23395";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23396";;;;;;;2;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23397";;;;;;;;;;;;;;;;;;;;;2;;3;;;1;;;;3;2;3;2;2;4;3;2;3;4;2;3;2;3
"F1_23398";;;;;;;;;;;;;;;;;;;;;3;1;;;;;2;;;3;3;3;3;4;4;3;2;3;2;3;2;4;3
"F1_23399";;;;;;;;;;;;;;;;;3;2;;;1;;;;;;;;;4;5;4;4;4;4;3;3;4;4;4;4;4;4
"F1_23400";;;;;;2;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23401";;;;;;;;;;;;;;;;;;;2;;;3;;1;;;;;;4;4;4;4;4;6;4;4;4;4;4;4;4;4
"F1_23402";;;;;;;;;;;;;;;;;;2;;;;3;;1;;;;;;3;4;4;3;4;4;3;4;5;4;4;3;4;3
"F1_23403";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23404";1;;;;2;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23405";1;;;;2;3;;;;;;;;;;;;;;3;2;;;;;1;;;;3;3;3;3;1;4;3;3;3;3;3;4;3;1
"F1_23406";;;;;;;;;;;;;;;;;;;1;2;;3;;;;;;;;2;5;4;4;2;5;5;4;5;4;4;4;4;5
"F1_23407";2;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23408";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23409";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23410";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23411";;;;;;;2;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23412";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23413";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23414";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23415";2;;;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23416";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23417";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23418";3;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23419";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23420";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23421";;;;;;;;;;;;;;;;;;;;;;;2;3;;1;;;;4;4;2;3;3;4;4;4;4;4;2;3;3;3
"F1_23422";;;;;;;;;;;;;;;;;;1;;;3;2;;;;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"F1_23423";2;3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23424";;1;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23425";1;;;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23426";;;2;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23427";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23428";1;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23429";;;;;;;;;;;;;;;;;;1;;;;2;;;3;;;;;4;4;5;4;5;4;5;4;5;4;5;4;5;6
"F1_23430";;;;;;;;;;;;;;;;;;2;;;;;;3;1;;;;;3;5;5;5;5;5;5;3;5;4;5;5;6;6
"F1_23431";2;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23432";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23433";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23434";;;;;;;;;;;;;;;;;;;1;2;3;;;;;;;;;5;4;4;4;3;4;4;4;4;4;4;5;4;4
"F1_23435";;;;;;;;;;;;;;;;;1;;2;;3;;;;;;;;;5;6;6;6;6;6;5;4;6;4;5;6;6;6
"F1_23436";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23437";;;;;;;;;;;;;;;;;;;;;;3;1;;;2;;;;2;4;2;4;2;4;5;5;4;2;4;4;4;1
"F1_23438";;;;;;;;;;;;;;;;;;;2;;3;;;1;;;;;;2;3;2;3;2;3;4;3;4;3;3;1;3;1
"F1_23439";;;;;;;;;;;;;;;;;2;;;;;1;;;3;;;;;4;6;5;4;4;6;5;4;4;5;4;4;4;4
"F1_23440";;;;;;;;;;;;;;;;;;;2;;;;;1;3;;;;;3;5;5;4;5;4;3;4;5;3;4;3;5;3
"F1_23441";2;;;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23442";;;;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23443";;;;;;;;;;;;;;;;;;;;;1;2;3;;;;;;;5;4;3;5;6;6;4;6;5;6;6;5;6;6
"F1_23444";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23445";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23446";;;;;;;;;;;;;;;;;;;;;;;3;2;;1;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"F1_23447";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23448";;;;;;;;;;;;;;;;;;;;;;2;;3;;1;;;;1;6;6;6;6;6;5;5;5;5;5;6;6;5
"F1_23449";2;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23450";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23451";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23452";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23453";2;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23454";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23455";;;;;;;;;;;;;;;;;;;;;;1;;3;;;2;;;6;6;5;5;5;4;5;5;5;5;5;6;5;4
"F1_23456";;;;;;;;;;;;;;;;;;2;3;;1;;;;;;;;;4;4;2;2;2;4;3;2;3;4;2;3;3;1
"F1_23457";;;2;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23458";;;;;;;;;;;;;;;;;1;;;2;;;;;;;3;;;2;4;5;5;4;6;3;2;5;4;3;3;5;6
"F1_23459";;1;;;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23460";;;;;;;;;;;;;;;;;;;2;;1;;3;;;;;;;4;3;4;4;3;5;4;4;1;4;4;5;3;4
"F1_23461";;;;;;;;;;;;;;;;;2;;;;;;;3;;1;;;;3;3;2;2;1;6;3;3;3;3;1;2;3;1
"F1_23462";;;;;;;;;;;;;;;;;2;1;;3;;;;;;;;;;2;4;4;4;4;4;1;1;4;4;2;3;2;3
"F1_23463";2;;;;1;;;3;;;;;;;;;;1;2;;;;;;3;;;;;4;4;4;4;5;4;4;4;4;3;5;4;4;4
"F1_23464";;;;;;;;;;;;;;;;;2;1;;;;;3;;;;;;;3;5;4;2;3;4;4;4;4;4;4;4;4;3
"F1_23465";;2;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23466";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23467";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23468";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23469";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23470";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23471";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23472";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23473";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23474";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23475";;;;;;1;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23476";;;;;;;;;;;;;;;;;;3;2;;;;;;;1;;;;3;3;3;3;2;4;2;3;3;3;3;3;3;4
"F1_23477";2;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23478";;1;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23479";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23480";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23481";1;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23482";;;;;;;;;;;;;;;;;;;;;;;1;3;;2;;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"F1_23483";3;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23484";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23485";;;;;;;;;;;;;;;;;3;;;1;;;;2;;;;;;1;4;2;1;2;3;4;1;2;4;2;2;3;1
"F1_23486";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23487";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23488";1;;2;;3;;;;;;;;;;;;;;1;;;;;;2;3;;;;3;6;5;4;5;5;2;3;4;6;4;5;5;6
"F1_23489";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23490";;;;;;;;;;;;;;;;;;;;;1;;;;3;2;;;;4;4;4;4;3;4;4;3;4;4;3;4;3;3
"F1_23491";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23492";1;;;;;;;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23493";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23494";;;3;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23495";;;;;;;;;;;;;;;;;;3;;;;;;;;1;;;2;1;3;4;3;2;2;2;5;2;4;3;2;2;3
"F1_23496";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23497";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23498";1;3;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23499";;;;;;;;;;;;;;;;;2;;1;;3;;;;;;;;;2;3;2;3;2;2;2;4;2;1;2;3;2;1
"F1_23500";;;;;;;;;;;;;;;;;;;;;;1;;2;;;3;;;5;5;6;5;5;5;5;4;5;6;4;5;5;3
"F1_23501";;;;;;;;;;;;;;;;;;;;;3;;2;;;1;;;;4;2;2;2;1;3;3;2;3;3;3;3;3;3
"F1_23502";3;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23503";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23504";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23505";1;;;;;;;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23506";;;;;;;;;;;;;;;;;2;;1;;;3;;;;;;;;3;4;4;5;4;5;4;5;5;3;2;2;2;3
"F1_23507";;;;;;;;;;;;;;;;;;;;;;;2;3;;1;;;;3;3;2;3;1;4;4;3;3;4;3;4;3;1
"F1_23508";;;;;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23509";;;;;2;;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23510";2;;;;;;;;;3;1;;;;;;;3;;;2;;;1;;;;;;3;4;4;4;4;4;4;4;3;4;4;4;4;3
"F1_23511";;;;2;1;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23512";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23513";;;;;;;1;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23514";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23515";;;;;;;;;;;;;;;;;;3;;;;;2;;;1;;;;4;3;2;2;1;3;4;1;3;2;1;1;3;2
"F1_23516";;;;;;;;;;;;;;;;;;;;;;;2;3;;1;;;;2;2;1;2;1;5;3;3;3;3;3;2;5;4
"F1_23517";;1;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23518";;;;;;;;;;;;;;;;;;2;1;;;;;3;;;;;;4;5;2;2;2;4;2;4;3;4;3;2;3;2
"F1_23519";;;3;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23520";3;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23521";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23522";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23523";;;;;;;;;;;;;;;;;;2;;;;;1;3;;;;;;3;4;3;4;3;3;3;2;3;3;2;4;3;1
"F1_23524";;;;;;;;;;1;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23525";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23526";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23527";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23528";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23529";;;;;;;;;;;;;;;;;;;;;1;2;;;;;3;;;5;2;3;3;3;4;4;3;3;4;4;3;4;3
"F1_23530";;;;;;;;;;;;;;;;;1;;;;;;3;;;2;;;;3;4;2;3;2;2;3;2;3;3;1;2;4;2
"F1_23531";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23532";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23533";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23534";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23535";2;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23536";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23537";;;;;;;;;;;;;;;;;;3;;;2;;;1;;;;;;3;3;3;3;2;5;4;3;4;5;3;4;4;2
"F1_23538";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23539";;3;;;1;;;;2;;;;;;;;;1;2;3;;;;;;;;;;3;3;3;3;3;5;3;4;3;5;5;5;5;5
"F1_23540";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23541";1;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23542";;;;;;;;;;;;;;;;;2;;;;;;3;;;;;;1;3;4;3;3;3;6;4;3;4;3;4;5;4;4
"F1_23543";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23544";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23545";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23546";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23547";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23548";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23549";;;;;;;;;;;;;;;;;;;;;2;;;;;3;;;1;4;4;4;4;4;4;4;3;4;3;4;3;4;3
"F1_23550";;;;;;;;;;;;;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23551";;;3;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23552";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23553";3;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23554";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23555";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23556";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23557";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23558";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23559";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23560";;;;;;;;;;;;;;;;;;;;;;1;;;;2;3;;;5;5;5;5;5;5;5;5;5;4;4;5;5;5
"F1_23561";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23562";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23563";;;;;;;;;;;;;;;;;;;;;1;;;3;;2;;;;4;3;4;4;4;5;5;4;5;5;5;4;5;4
"F1_23564";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23565";;;;;;;;;;;;;;;;;2;;;;;;;3;;1;;;;4;4;3;4;2;6;3;3;4;5;3;3;3;2
"F1_23566";;;;;;;;;;;;;;;;;;;;;3;;;1;;2;;;;4;5;5;5;5;6;5;4;4;5;4;4;4;4
"F1_23567";3;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23568";3;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23569";;;;;;;;;;;;;;;;;;;1;3;;;;2;;;;;;2;2;3;2;1;4;2;2;3;2;3;3;3;2
"F1_23570";2;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23571";2;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23572";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23573";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23574";;;;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23575";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23576";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23577";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_23578";;;;;;;;;;;;;;;;;;3;;;;;;;2;1;;;;4;6;5;5;5;5;5;5;5;6;4;4;4;6
"F1_23579";2;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
