"Id_aloj_1";"N_Individuo";"N_Pass";"Tipo_Passe";"Tipo_Passe_Dsg";"Passe_Tarifa";"Passe_Tarifa_Dsg";"Passe_Intermodal";"Passe_Intermodal_Dsg";"Passe_Operador1";"Passe_Operador1_Dsg";"Passe_Operador2";"Passe_Operador2_Dsg";"Passe_Operador3";"Passe_Operador3_Dsg"
"F1_18580";1;2;3;"Passes intermodais/sociais ";5;"Sénior";13;"Andante - Z2";;;;;;
"F1_18580";2;1;3;"Passes intermodais/sociais ";5;"Sénior";13;"Andante - Z2";;;;;;
"F1_18580";2;2;3;"Passes intermodais/sociais ";5;"Sénior";13;"Andante - Z2";;;;;;
"F1_18580";1;1;3;"Passes intermodais/sociais ";5;"Sénior";13;"Andante - Z2";;;;;;
"F1_18582";1;1;1;"Rede de um operador";1;"Sem redução";;;36;"CP";;;;
"F1_18588";5;1;1;"Rede de um operador";2;"Gratuito";;;37;"ETG / Gondomarense";;;;
"F1_18588";4;1;1;"Rede de um operador";9;"Outro";;;37;"ETG / Gondomarense";;;;
"F1_18591";3;1;1;"Rede de um operador";4;"Sub23";;;37;"ETG / Gondomarense";;;;
"F1_18591";3;2;2;"Linha de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_18593";3;1;1;"Rede de um operador";2;"Gratuito";;;37;"ETG / Gondomarense";;;;
"F1_18594";2;1;2;"Linha de um operador";2;"Gratuito";;;37;"ETG / Gondomarense";;;;
"F1_18594";2;2;3;"Passes intermodais/sociais ";2;"Gratuito";13;"Andante - Z2";;;;;;
"F1_18600";1;1;1;"Rede de um operador";9;"Outro";;;37;"ETG / Gondomarense";;;;
"F1_18600";1;2;3;"Passes intermodais/sociais ";8;"Social +";13;"Andante - Z2";;;;;;
"F1_18601";1;2;4;"Combido entre operadores";1;"Sem redução";;;37;"ETG / Gondomarense";46;"Metro do Porto";;
"F1_18601";2;1;4;"Combido entre operadores";1;"Sem redução";;;37;"ETG / Gondomarense";46;"Metro do Porto";;
