category,latitude,longitude,neighbourhood
university,41.153999788728406,-8.672675761999553,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.1532769561559,-8.672199436157094,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.15055325966535,-8.635925718849034,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15046204398641,-8.636229230479874,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15034938870608,-8.636641360258087,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.14516638598124,-8.600419452260732,Bonfim
university,41.153549455441066,-8.672379358539356,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.16028798729084,-8.601685618834528,Bonfim
university,41.180143618050856,-8.607186728441876,Paranhos
university,41.15082673386021,-8.632127881684973,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.17540276123893,-8.604472220033088,Paranhos
university,41.17482632681399,-8.658494317612835,Ramalde
university,41.17347036250393,-8.59597984497337,Paranhos
university,41.176692264610885,-8.604816665973134,Paranhos
university,41.17943705661485,-8.607079385902109,Paranhos
university,41.17944678356272,-8.606078042884047,Paranhos
university,41.17897985164071,-8.608374539551907,Paranhos
university,41.17855062915881,-8.607750236984286,Paranhos
university,41.17731436108142,-8.606313688023759,Paranhos
university,41.16672860358039,-8.616225372823536,Paranhos
university,41.14015287693944,-8.615847117036257,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.14445116167414,-8.61669269383633,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.17578355987578,-8.603125699332756,Paranhos
university,41.17597486103837,-8.60219973654205,Paranhos
university,41.15410286285459,-8.643279208352507,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.14720997319013,-8.623901070459361,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1476923653945,-8.617699230353209,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1541973520681,-8.603813305343424,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.17320371118102,-8.611153580302178,Paranhos
university,41.15144877606962,-8.615875397181862,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.15209366146921,-8.616249684414171,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1757310508472,-8.649808050272357,Ramalde
university,41.17851248924112,-8.59749792747071,Paranhos
university,41.17735703485785,-8.663089050164805,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.17712700780085,-8.605538077326383,Paranhos
university,41.152152134576646,-8.638375356013016,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.17441224417345,-8.60281060932447,Paranhos
university,41.16672860358039,-8.616225372823536,Paranhos
university,41.16863160136226,-8.662664286401528,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.17623972023042,-8.59690988207092,Paranhos
university,41.17640464092485,-8.595474202782503,Paranhos
university,41.152152134576646,-8.638375356013016,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15005564723271,-8.636287130468041,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15415718030312,-8.644283662629835,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.1499956,-8.6349481,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.150109156276905,-8.63680579038559,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15000445,-8.635807,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15022829956356,-8.6358958782157,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15009231435637,-8.636519772571853,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.18033310946229,-8.596852514804935,Paranhos
university,41.14648458343654,-8.61576931470361,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.17758191053368,-8.596250298245662,Paranhos
university,41.15252100413993,-8.670954990741713,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.1774362318605,-8.59470383082775,Paranhos
university,41.16047004848235,-8.604127515956643,Bonfim
university,41.17927796440254,-8.599663491075608,Paranhos
university,41.14648458343654,-8.61576931470361,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.178260292665215,-8.59695445174109,Paranhos
